gene,yao1,yao2,yao5,R,maxI
TTLL10,-0.00936785707500461,-4.8146287053649255e-4,0.31119292861999365,1,0.31119292861999365
TNFRSF4,-0.008288708282723578,-0.0026930586382033516,0.003493035129172317,1,0.003493035129172317
TAS1R3,-0.019214635416471247,-0.009124441514329767,0.016466045005438256,1,0.016466045005438256
CCNL2,0.041121266823782456,0.10248378410430145,0.23369253023908773,1,0.23369253023908773
CALML6,-0.013690303048856664,0.02326593259955571,0.06206183695823265,1,0.06206183695823265
TMEM52,0.03886924126147156,0.046816686366775766,0.05893675192576201,1,0.05893675192576201
GABRD,0.0033562622768791876,0.00793042440845574,0.07881550090603104,1,0.07881550090603104
PLCH2,0.014917508479241611,0.04152006132693818,0.05656965031954271,1,0.05656965031954271
TNFRSF14,-0.005848692397972415,0.025779539112141026,0.04648425034938606,1,0.04648425034938606
MMEL1,-0.005903024318211334,0.00525331683354007,0.02231060173040967,1,0.02231060173040967
PRDM16,0.10138940398028201,0.22608698082467762,0.3813848437087144,1,0.3813848437087144
CEP104,-0.08739570476313661,0.01342029058966106,0.05334882463564008,1,0.05334882463564008
C1orf174,-0.10549278398514095,0.055612077059152075,0.09920623851767191,1,0.09920623851767191
CHD5,0.012284322192137357,0.07753010976957918,0.25729979306125145,1,0.25729979306125145
GPR157,0.01661933491427336,0.026947512509925706,0.043532029399318745,1,0.043532029399318745
RBP7,0.013424765572921625,0.04935819079526748,0.13497998893424953,1,0.13497998893424953
CASZ1,0.3203339775175495,0.39566312803738257,0.4208101661831315,1,0.4208101661831315
MASP2,-0.018099673628532636,0.16231047818725755,0.4992113675493682,1,0.4992113675493682
DISP3,0.2480707424745137,0.3208107313023548,0.366658438943451,1,0.366658438943451
CTRC,-0.013371526071254119,0.004889473366672004,0.03521267704540574,1,0.03521267704540574
AGMAT,0.1105321402264996,0.3680118321966217,0.5400831488275242,1,0.5400831488275242
TMEM82,0.015619611240349553,0.14581766939933274,0.3358309756144979,1,0.3358309756144979
SPATA21,-0.004757085257848579,0.0021006195128438795,0.09252779985862246,1,0.09252779985862246
PADI2,0.17501695982721732,0.19271248834149016,0.30897345510187085,1,0.30897345510187085
KLHDC7A,0.02216570428001689,0.08224595694703166,0.08965387372654583,1,0.08965387372654583
ALDH4A1,-0.08225634979721888,0.3246377547986288,0.4331506264352515,1,0.4331506264352515
PLA2G5,0.03207718046067632,0.4588393654355778,0.4894383215614137,1,0.4894383215614137
VWA5B1,0.17087930840264068,0.19718787897292947,0.31785090512546144,1,0.31785090512546144
FAM43B,0.010984550762922476,0.023426755908942644,0.06014349482528633,1,0.06014349482528633
CDA,-0.009937193356132596,0.06483247124592292,0.22915643596833016,1,0.22915643596833016
NBPF3,0.010115466609378234,0.023041921984840716,0.03125685517091525,1,0.03125685517091525
USP48,-0.2556719765971464,0.00400137385888692,0.06767013540882338,1,0.06767013540882338
