gene,yao1,yao2,yao5,R,maxI
PERM1,-0.00048428427688295594,0.006177753417251178,0.006261912570552479,1,0.006261912570552479
TTLL10,-0.004539108526824478,0.009552483030586872,0.2972902837784053,1,0.2972902837784053
TNFRSF4,-0.008731114389688906,-0.00252145734912124,0.00357302738079145,1,0.00357302738079145
B3GALT6,0.01769634870014931,0.041896334357992886,0.049652376262470016,1,0.049652376262470016
TAS1R3,-0.005630365948465879,4.4082857131213246e-4,0.01711631197561392,1,0.01711631197561392
CALML6,-0.008569972900513078,0.0227244261336913,0.0741515083535488,1,0.0741515083535488
GABRD,-0.011067483620884463,2.9893070433557287e-4,0.08413665316483006,1,0.08413665316483006
PLCH2,0.04997381596561308,0.051904885940329576,0.06058447918966682,1,0.06058447918966682
TNFRSF14,0.004216344098298134,0.02269859726466986,0.05775346936767469,1,0.05775346936767469
MMEL1,-0.006735701207071238,0.00742522919961317,0.017447680845660368,1,0.017447680845660368
PRDM16,0.09429028444046333,0.2174600321997,0.401844225382435,1,0.401844225382435
CEP104,-0.06019619814182889,0.022620985456374296,0.028323766630334736,1,0.028323766630334736
DFFB,-0.0012931385084377865,0.011818373705081528,0.01882362054729301,1,0.01882362054729301
CHD5,0.02506471141399604,0.0662186259156316,0.2624756903390051,1,0.2624756903390051
RBP7,0.009632624081240158,0.046565554485939104,0.09008545629794405,1,0.09008545629794405
MASP2,-0.01169732959935335,0.160143096399139,0.5125955080249445,1,0.5125955080249445
DISP3,0.22403258876070298,0.2782228269723962,0.3663861871697581,1,0.3663861871697581
CTRC,-0.014540955336862841,0.0010097725014496148,0.039689665088768714,1,0.039689665088768714
AGMAT,0.10288040078455758,0.35329879285197735,0.5611595143815064,1,0.5611595143815064
TMEM82,0.01449505681474221,0.16358787062477753,0.34920192508874354,1,0.34920192508874354
ZBTB17,0.049188834362170836,0.049417145456562166,0.08542037140663285,1,0.08542037140663285
SPATA21,-0.007753878599661356,4.892356848081378e-4,0.12243077518648636,1,0.12243077518648636
MFAP2,0.3310527535507711,0.38383651208728614,0.5123761595438998,1,0.5123761595438998
PADI2,0.1878119689826451,0.19461567759700704,0.31213540329532524,1,0.31213540329532524
