mz_id,Metabolites,important
pos-137.04630,Hypoxanthine,TRUE
neg-199.93582,Taurine sulfate,TRUE
pos-201.93199,Taurine,TRUE
neg-295.07093,Glutamylhydroxyproline; Hydroxyprolyl-Glutamate; gamma-Glutamylhydroxyproline,TRUE
pos-446.11818,Glutamate nitrogen,TRUE
neg-145.05985,L-Glutamine; D-Glutamine,TRUE
neg-327.22730,N-Lauroyl Glutamine,TRUE
neg-389.28027,N-Linoleoyl Glutamine,TRUE
pos-255.05889,(2S)-5-Amino-2-[(2-carboxy-2-oxoethyl)amino]-5-oxopentanoic acid; Glutamine pyruvate; Kifunensine,TRUE
neg-408.01033,ADP,TRUE
neg-477.97485,"ADP, beta S",TRUE
neg-578.00853,Cyclic ADP-ribose,TRUE
neg-620.01566,ADP-ribose 2'-phosphate,TRUE
neg-666.01983,"ADP-ribose 1""-2"" cyclic phosphate",TRUE
neg-243.05980,Uridine; Pseudouridine,TRUE
neg-287.00708,"Uridine 2',3'-cyclic phosphate",TRUE
neg-482.96038,Uridine triphosphate,TRUE
neg-644.02588,Uridine diphosphate-N-acetylglucosamine,TRUE
neg-116.03373,L-2-Amino-3-oxobutanoic acid; L-Aspartate-semialdehyde,TRUE
neg-410.24414,N-Arachidonoyl Alanine; N-Myristoyl Phenylalanine,TRUE
neg-797.54797,N-Docosahexaenoyl Alanine; Epristeride,TRUE
pos-90.05497,beta-Alanine; L-Alanine; Sarcosine,TRUE
pos-253.11645,Alanyltyrosine; Serylphenylalanine; Tyrosyl-Alanine,TRUE
pos-563.04858,"L-Alanine, N-(2,6-dichloro-4-(((3-(2-furanyl)-1-oxo-2-propenyl)amino)methyl)benzoyl)-3-(((4R)-4-thiazolidinylcarbonyl)amino)-",TRUE
neg-436.27151,N-Arachidonoyl Serine,TRUE
pos-398.26918,N-Docosahexaenoyl Serine,TRUE
neg-174.03962,N-Acetyl-L-aspartic acid,TRUE
pos-400.34014,O-Palmitoylcarnitine,TRUE
neg-78.95824,Ketene; Ethynol; Oxirene,FALSE
neg-88.03964,Aziridine,FALSE
neg-89.02340,L-Lactic acid,FALSE
neg-92.02428,hydroxybutyl,FALSE
neg-96.96840,Hydrogen carbonate,FALSE
neg-105.02013,Glyceric acid,FALSE
neg-111.00923,2-Furoic acid,FALSE
neg-114.02072,ISOXAZOLE; 2-Cyanoethylene oxide; Oxazole,FALSE
neg-115.00219,Malic acid,FALSE
