mz_id,Metabolites,important
pos-400.34325,Palmitoylcarnitine,TRUE
neg-135.03240,Hypoxanthine,TRUE
neg-124.00626,Taurine,TRUE
neg-239.92584,Taurine sulfate,TRUE
neg-290.96981,Taurine aspartate,TRUE
neg-145.06183,L-Glutamine; D-Glutamine,TRUE
neg-426.02215,ADP,TRUE
neg-479.95338,"ADP, beta S",TRUE
neg-540.05284,ADP Ribose,TRUE
neg-666.02842,"ADP-ribose 1""-2"" cyclic phosphate",TRUE
neg-243.06380,Pseudouridine; Uridine,TRUE
neg-587.02814,Uridine diphosphate glucose,TRUE
neg-601.00990,Uridine diphosphate glucuronic acid,TRUE
neg-642.05024,Uridine diphosphate-N-acetylglucosamine,TRUE
neg-966.93120,Uridine triphosphate,TRUE
neg-360.97160,"D-Fructose 2,6-bisphosphate; D-myo-Inositol 1,4-bisphosphate; Fructose 1,6-bisphosphate",TRUE
neg-88.03881,beta-Alanine; L-Alanine; Sarcosine,TRUE
neg-140.01127,L-Serine,TRUE
neg-390.25867,N-Arachidonoyl Serine,TRUE
neg-369.02198,Inosinic acid,TRUE
neg-174.03993,N-Acetyl-L-aspartic acid,TRUE
pos-395.24755,"(2R,3R)-2-Benzhydryl-N-[(2-methoxyphenyl)methyl]-1-azabicyclo[2.2.2]octan-3-amine",FALSE
pos-611.37654,Proparacaine,FALSE
pos-846.52891,"PE(DiMe(11,3)/DiMe(11,3)); PE(DiMe(11,3)/DiMe(9,5)); PE(DiMe(11,5)/DiMe(9,3))",FALSE
pos-787.61099,MG(20:2); Lepidiumterpenyl ester,FALSE
pos-393.24019,Glyceryl monolinoleate,FALSE
pos-483.07548,Alacepril,FALSE
pos-557.09306,Mangiferin 6'-gallate,FALSE
pos-632.11794,Tiapamil,FALSE
pos-735.57523,Stearoyllactic acid; 3-(2-Heptenyloxy)-2-hydroxypropyl undecanoate,FALSE
pos-873.55555,ubiquinol-9,FALSE
pos-875.50745,"Pesticide4_Ivermectin_C48H74O14_22,23-dihydroavermectin B1",FALSE
pos-707.55037,Laurdan,FALSE
pos-596.36772,Aliskiren,FALSE
pos-325.17934,Hexadecanedioic acid,FALSE
pos-824.56524,PE(44:9),FALSE
pos-594.23006,Enkephalin L,FALSE
pos-740.51841,PC(33:4); PE(36:4),FALSE
pos-574.05498,Hydroxy dabrafenib,FALSE
pos-892.52671,PC(42:10),FALSE
pos-297.14644,Tetradecanedioic acid,FALSE
pos-317.11773,2-Phenyl-4-piperazin-1-yl-1H-benzimidazole,FALSE
pos-871.53226,Devazepide,FALSE
pos-754.53641,PC(34:4),FALSE
pos-703.59049,Polyoxyethylene (600) monoricinoleate,FALSE
pos-567.03738,L-2-Aminoadipate adenylate,FALSE
pos-540.33992,Leu-Arg-Asn-Arg,FALSE
pos-808.58927,PC(36:2),FALSE
pos-523.01252,Phosphoaminophosphonic acid-guanylate ester,FALSE
pos-633.48809,DG(34:1); Diacylglycerol,FALSE
pos-659.50654,PA(34:0),FALSE
pos-552.29253,"(5Z)-7-[(1R,2R,3R)-3-Hydroxy-2-[(1E,3S)-3-hydroxy-5-phenylpent-1-en-1-yl]-5-oxocyclopentyl]hept-5-enoylcarnitine",FALSE
pos-805.42907,Dihydrodigoxin; Madlongiside D,FALSE
pos-89.10698,Putrescine,FALSE
pos-611.06575,Sulfosuccinimidyl 6-(biotinamido)hexanoate,FALSE
pos-780.55876,PC(34:2),FALSE
pos-858.59702,PC(42:8),FALSE
pos-501.00969,Salubrinal,FALSE
pos-792.53396,PE(20:3),FALSE
pos-171.09923,Triethyl orthoformate,FALSE
pos-755.54505,SM(d35:1); SM(d17:1/18:0),FALSE
pos-775.54529,"PG(36:2); 1,2-Dioleoyl-sn-glycero-3-phosphoglycerol",FALSE
pos-555.87313,3'-Monoiodo-L-thyronine 4'-O-sulfate,FALSE
pos-307.04649,2-[(4-Phenoxyphenyl)sulfonylmethyl]thiirane,FALSE
