gene,E95,E115,E135,R,maxI
Rgs20,0.025148585662008855,0.11364020478313071,0.2346090548985663,1,0.2346090548985663
Rb1cc1,-0.017152949333693296,0.039462657888557386,0.04841851772675744,1,0.04841851772675744
Adhfe1,0.016249799997585714,0.020295098305531025,0.022445794927012784,1,0.022445794927012784
Vxn,0.02856697972885955,0.4241956733075613,0.4287813777721418,1,0.4287813777721418
Sgk3,0.033186597498709,0.045204640019227145,0.12646146113241724,1,0.12646146113241724
Mcmdc2,-0.020278153556783623,0.006692032952126181,0.059591164043213615,1,0.059591164043213615
Cspp1,0.0075326594296703155,0.04674230616828325,0.053256878375764746,1,0.053256878375764746
Slco5a1,0.07789406973465962,0.2787223878766153,0.3589548846015296,1,0.3589548846015296
Ncoa2,-0.003039091653541323,0.08024302432123946,0.11486865588546792,1,0.11486865588546792
Tram1,0.03070090571446629,0.1504400573575302,0.21306809263138657,1,0.21306809263138657
Msc,0.07093625733925933,0.21216452916442957,0.28161060098873064,1,0.28161060098873064
4930444P10Rik,-0.007537733469199975,0.021946646833554188,0.0285682465884771,1,0.0285682465884771
Stau2,0.056715856678935625,0.10090006687893749,0.24923086862299892,1,0.24923086862299892
Ube2w,-0.0026836164542158895,0.058205384113866526,0.06687881162256218,1,0.06687881162256218
Gdap1,0.027852592522369848,0.189146727640756,0.23770418407919605,1,0.23770418407919605
Paqr8,0.011355516829424057,0.02501427841207094,0.0806816792763015,1,0.0806816792763015
Efhc1,-0.01454552124479399,0.0026738889014288345,0.006397376085573501,1,0.006397376085573501
Tram2,-2.0398837358542822e-4,0.048150321219190474,0.05507695549551742,1,0.05507695549551742
Tmem14a,-0.020189698210067438,0.02168782280101517,0.032172885639339135,1,0.032172885639339135
Gsta3,-0.009200765496607635,0.07979047618546228,0.47936367097744625,1,0.47936367097744625
Rims1,0.07469795673798518,0.18159380556567276,0.3243993542038607,1,0.3243993542038607
Ogfrl1,0.02659078050836043,0.04503551286448818,0.06398039144350363,1,0.06398039144350363
Sdhaf4,0.04225970873995013,0.04574032278716584,0.06906833017740344,1,0.06906833017740344
Col9a1,0.2867823176754149,0.42065531752057556,0.5306161009535478,1,0.5306161009535478
Lmbrd1,0.013289979188201574,0.04776741937006565,0.11842994625534756,1,0.11842994625534756
Adgrb3,0.009840272875005591,0.25296191473801416,0.390983493266068,1,0.390983493266068
Ptp4a1.1,0.020445984027071935,0.04530618585968626,0.04564777888927987,1,0.04564777888927987
Khdrbs2,0.019696476826656262,0.13219063107223805,0.38853384993290335,1,0.38853384993290335
Zfp451,-0.012411237625463927,0.04256331542714,0.08715428801631059,1,0.08715428801631059
Bend6,-0.005173997550053052,0.02487573011363909,0.15594534226621706,1,0.15594534226621706
Dst,0.16483659996863292,0.26765762961805084,0.287589463335063,1,0.287589463335063
Amer3,0.0389959672754036,0.2548429463500806,0.36721837311637123,1,0.36721837311637123
Fam168b,0.04070841853777861,0.093066209756558,0.1315244040680176,1,0.1315244040680176
Plekhb2,0.028055343190241392,0.06020038794825499,0.06914797545342778,1,0.06914797545342778
Kansl3,0.010475620311511046,0.09956673232233004,0.10731247227399099,1,0.10731247227399099
Lman2l,-0.0059550634172775545,0.056537504728387034,0.06477671072210109,1,0.06477671072210109
Cnnm3,-0.015053056536740278,1.378319343644432e-4,0.015970957840405232,1,0.015970957840405232
Cox5b,0.04876784132412476,0.1307691703696543,0.18707640987903876,1,0.18707640987903876
Actr1b,-0.0012736857794482313,0.019709059999723586,0.024024734234390322,1,0.024024734234390322
Zap70,-0.00904097614147183,0.019722025650719198,0.023677986586412368,1,0.023677986586412368
Inpp4a,0.029340462606326966,0.0696018725374777,0.13179633840755905,1,0.13179633840755905
Aff3,0.18379580408584606,0.21780051409290002,0.22906391300334714,1,0.22906391300334714
Lonrf2,0.09609118733082704,0.19372276561924168,0.3165070761571356,1,0.3165070761571356
Chst10,0.03635331043300715,0.14464278324598834,0.2590611681985931,1,0.2590611681985931
Pdcl3,0.019862451600186213,0.03483854735038998,0.0449266413283394,1,0.0449266413283394
Npas2,-0.016740740908105317,0.016316370029376078,0.04098307062948685,1,0.04098307062948685
Map4k4,0.03673323454040637,0.11477725756432658,0.21342665077098208,1,0.21342665077098208
Il1rl2,-0.012259201838515116,0.07608253127414207,0.12648447739877666,1,0.12648447739877666
Il18rap,0.0037457792877242696,0.013013841689867103,0.03423809948522011,1,0.03423809948522011
Pou3f3,0.3156144250156912,0.44068513854930824,0.56406119105857,1,0.56406119105857
Tgfbrap1,-0.022447336825754935,0.0013375518225695793,0.0175829561456996,1,0.0175829561456996
AI597479,-0.006313716168461374,0.01983504446386011,0.07886965283970938,1,0.07886965283970938
Nck2,-0.02057407789091822,0.03306607337934768,0.04803636154139891,1,0.04803636154139891
Ecrg4,-0.0043574985270354695,0.13646924748368716,0.23501843481931098,1,0.23501843481931098
Bivm,0.027626682517925893,0.04232114615557841,0.08498367780838353,1,0.08498367780838353
Col3a1,0.37003935525139553,0.4365051524319884,0.5375372104891769,1,0.5375372104891769
Col5a2,0.25272983736669147,0.26539504900329414,0.38500870119741704,1,0.38500870119741704
Slc40a1,0.08477701608968086,0.1491845568844588,0.3354554767251026,1,0.3354554767251026
Slc39a10,0.02386408754043597,0.03164968454230992,0.033770454690038684,1,0.033770454690038684
Tmeff2,0.03212493659110137,0.20782286995267882,0.23635259122631774,1,0.23635259122631774
Cavin2,0.262743982176195,0.3780854911824461,0.40570517936711065,1,0.40570517936711065
Stat1,0.00705153379380331,0.018681043308890172,0.03198610763801091,1,0.03198610763801091
Nemp2,0.004645243195980369,0.007180631294783052,0.01816578156543669,1,0.01816578156543669
Mfsd6,-0.005501776832467969,0.05680241117037145,0.06490609996588921,1,0.06490609996588921
Mstn,0.12614528529790164,0.2605269805478452,0.26204602127108306,1,0.26204602127108306
1700019A02Rik,-0.010799511318810486,0.01219540639596119,0.014655703041859945,1,0.014655703041859945
Ormdl1,0.03644633893863012,0.0532344704198381,0.05477966895133725,1,0.05477966895133725
Stk17b,0.011922049741310958,0.1270540510889458,0.2586196260864222,1,0.2586196260864222
Pgap1,0.1052232049565839,0.16734858408613673,0.3077360309107104,1,0.3077360309107104
Ankrd44,6.234041303476672e-4,0.03480496009058877,0.09609732961993138,1,0.09609732961993138
Sf3b1,0.12489199763628932,0.13635991332900793,0.18581824162210958,1,0.18581824162210958
Coq10b,-0.010407901383404512,-0.0029681204794418155,-0.00196026783890412,1,-0.00196026783890412
Hspd1,0.2745142154324984,0.3332096721588087,0.36782546700972135,1,0.36782546700972135
Satb2,0.041807563774271986,0.3434254236252777,0.3444602543032931,1,0.3444602543032931
1700066M21Rik,-0.01870987231368687,0.012991509452260727,0.01438977483898229,1,0.01438977483898229
Tyw5,0.002140284978956571,0.020877298943280165,0.03319361176173676,1,0.03319361176173676
Kctd18,0.002695671300229365,0.014325944791728612,0.021795395479141826,1,0.021795395479141826
Sgo2a,0.03975600911694987,0.08187014774826715,0.09373421151469673,1,0.09373421151469673
Clk1,0.03860754889650412,0.05655611599637886,0.06332705549939978,1,0.06332705549939978
Orc2,0.17002572992935527,0.1978724885359848,0.2235838994888723,1,0.2235838994888723
Fam126b,-1.763173035559853e-4,0.011800927335206034,0.012567657203655474,1,0.012567657203655474
Cflar,0.03315090204348274,0.07899920627981893,0.10067525510172036,1,0.10067525510172036
Trak2,0.16538272156093672,0.1773223023820664,0.29689335739339606,1,0.29689335739339606
Stradb,0.012418670803459002,0.037799239865286764,0.13113671070101038,1,0.13113671070101038
Tmem237,0.07607209929815242,0.07623891965124464,0.09868583811186032,1,0.09868583811186032
Mpp4,-0.012748411855456034,0.004879160687262746,0.0319339508439437,1,0.0319339508439437
Fam117b,0.015517007191620103,0.06682114642056339,0.21752696953849585,1,0.21752696953849585
