gene,E95,E115,E135,R,maxI
Rgs20,0.025538866457299286,0.12599079136497657,0.27641720183684,1,0.27641720183684
Atp6v1h,0.029256000880363685,0.16222269240197046,0.16318667772775933,1,0.16318667772775933
Pcmtd1,0.03520814421297685,0.04751329591263943,0.09241626443297023,1,0.09241626443297023
Adhfe1,0.014253388674976933,0.022496502065986374,0.04083560953666508,1,0.04083560953666508
Vcpip1,0.01767736196536448,0.04290354405137777,0.0591754362649014,1,0.0591754362649014
Mcmdc2,-0.010218331042553676,0.0031231620822698976,0.07484515461553586,1,0.07484515461553586
Cspp1,0.017613669906059694,0.05126446718424775,0.07043373582207396,1,0.07043373582207396
Arfgef1,0.03850520521306306,0.09337667359995867,0.12524912492613333,1,0.12524912492613333
A830018L16Rik,-2.6507282698805045e-4,0.02105842887329352,0.08617369231926511,1,0.08617369231926511
Slco5a1,0.0827424553276649,0.29368109932654635,0.4173755062255948,1,0.4173755062255948
Ncoa2,-0.0077471694522895105,0.07246914494608103,0.1262698043154639,1,0.1262698043154639
Tram1,0.03555017225990285,0.14234255006083635,0.23028181729301386,1,0.23028181729301386
Msc,0.06703252090534847,0.24303252956067442,0.2944377129186965,1,0.2944377129186965
4930444P10Rik,-0.007532889869825691,0.012975654825334823,0.03194311545194114,1,0.03194311545194114
Stau2,0.04335129437892715,0.1128974447377411,0.3121324308071463,1,0.3121324308071463
Ube2w,-0.0010423354770016588,0.06381025787798082,0.08816115145221506,1,0.08816115145221506
Jph1,0.02634868203170236,0.05279553743978798,0.05876946919813372,1,0.05876946919813372
Gdap1,0.03828462364201649,0.19890801866921873,0.28583500120051514,1,0.28583500120051514
Il17f,-0.0032251963106119134,0.003167723945524487,0.005760874498503055,1,0.005760874498503055
Paqr8,0.008879210283764639,0.03447220064626088,0.10110905020982279,1,0.10110905020982279
Efhc1,-0.01656843545451603,0.0014676161156679322,0.007429205009863849,1,0.007429205009863849
Tram2,0.014731058521416405,0.05336881838040328,0.06236823425196405,1,0.06236823425196405
Tmem14a,-0.014476107628412076,0.029256407130539057,0.0391565920821075,1,0.0391565920821075
Gsta3,0.0024988376426932717,0.07123356126496162,0.5778946547222876,1,0.5778946547222876
Rims1,0.04803920286312801,0.19619082195996748,0.3588664505543501,1,0.3588664505543501
Ogfrl1,0.023713958720297024,0.04524487716172078,0.07466069496600099,1,0.07466069496600099
B3gat2,0.042310709701522606,0.05592115416739957,0.06766121827158737,1,0.06766121827158737
Smap1,-0.0023572351501823514,0.03618651852386626,0.04092226971642877,1,0.04092226971642877
Sdhaf4,0.026998893173052582,0.04195677820318342,0.10070639926736377,1,0.10070639926736377
Fam135a,0.04243638964881932,0.06112673328094478,0.07172686308403757,1,0.07172686308403757
Col9a1,0.3213907061317592,0.42445713756378617,0.5165002573587658,1,0.5165002573587658
Lmbrd1,0.01855831007576896,0.044519185771478426,0.16658742338118923,1,0.16658742338118923
Adgrb3,0.02977653104586979,0.24133585847884861,0.4208339005497574,1,0.4208339005497574
Ptp4a1,0.016810026134007443,0.05164659072316989,0.06094618552607323,1,0.06094618552607323
Khdrbs2,0.012835442246360877,0.14531622281770257,0.4118616887220404,1,0.4118616887220404
Rab23,0.06625774241911642,0.10153661491622179,0.11151430005562374,1,0.11151430005562374
Zfp451,-0.006442816550194478,0.05041712658797563,0.13329317248293335,1,0.13329317248293335
Bend6,-0.006570606748526792,0.026894261315343528,0.2019033432494352,1,0.2019033432494352
Dst,0.19395983113869075,0.25517390767207776,0.2813617664460993,1,0.2813617664460993
Amer3,0.03693022404066845,0.23111780379791005,0.3998205887964187,1,0.3998205887964187
Fam168b,0.048717310110140064,0.09627388113850614,0.19757998168258767,1,0.19757998168258767
Plekhb2,0.024259026824243638,0.06727216377348928,0.08734753614638423,1,0.08734753614638423
Uggt1,0.011505927365627817,0.03232661630360973,0.04714350554097604,1,0.04714350554097604
Kansl3,0.0133591919574665,0.08782694605232803,0.13113033555430978,1,0.13113033555430978
Lman2l,0.0020322736611076515,0.06486545708074364,0.09401780267946303,1,0.09401780267946303
Cnnm3,-0.013716285318782287,-4.0263954770658673e-4,0.029272631972232333,1,0.029272631972232333
Ankrd39,-0.015576932896192547,0.01857501596215618,0.02523869642641642,1,0.02523869642641642
Sema4c,-0.00883393767380125,0.0318137430427665,0.05498647852997054,1,0.05498647852997054
Cox5b,0.062137071040723586,0.11267232829272696,0.22173775183341962,1,0.22173775183341962
Actr1b,-0.009871649388169207,0.02128958999247749,0.030946822268250136,1,0.030946822268250136
4933424G06Rik,-0.005558229582549745,-0.0029459510644244025,-0.002083981447882618,1,-0.002083981447882618
Zap70,-0.009420008818738739,0.019337123143590568,0.02419233482036179,1,0.02419233482036179
Inpp4a,0.023969883394158665,0.07736510692617858,0.15190191621140905,1,0.15190191621140905
Mitd1,0.021032075883246775,0.032392169845983164,0.03423923933213085,1,0.03423923933213085
Lonrf2,0.10742751043607485,0.19864051930606616,0.33131734139568214,1,0.33131734139568214
Chst10,0.06140563474112035,0.16295175485806615,0.2904005815948069,1,0.2904005815948069
Pdcl3,0.012697170871890135,0.03581477659240704,0.05448067379171622,1,0.05448067379171622
Npas2,-0.014090433352163834,0.020384011492151178,0.04494905822204626,1,0.04494905822204626
Map4k4,0.05171048768699024,0.11467071108083819,0.25378274038547616,1,0.25378274038547616
Il1rl2,-0.0128275209028306,0.05844112752503298,0.10216223022627169,1,0.10216223022627169
Il18rap,-0.0035606277744818743,0.009299087690066963,0.048137640596039366,1,0.048137640596039366
Mfsd9,-0.02417977352019753,0.008024078309779253,0.00927860666249508,1,0.00927860666249508
Pou3f3,0.3354978428137269,0.4388498108063488,0.5756309154948097,1,0.5756309154948097
Tgfbrap1,-0.0010518089201136268,0.0033857213971413623,0.02329436418515216,1,0.02329436418515216
AI597479,-6.925861318660657e-4,0.02308980726405152,0.08833405485212505,1,0.08833405485212505
